Sample,Elk.Assignment,Latitude,Longitude,Sex,Collection Date
MC08T1S02,1,44.268196,-122.706941,f,6/5/2018
MC08T1S03,1,44.268322,-122.706796,,6/5/2018
MC08T1S11,1,44.270008,-122.706936,f,6/5/2018
MC08T2S02,1,44.267111,-122.694239,f,6/5/2018
MC08T2S03,2,44.267287,-122.694329,m,6/5/2018
MC08T2S06,2,44.267858,-122.694353,,6/5/2018
MC08T2S07,3,44.267886,-122.694334,m,6/5/2018
MC08T2S11,3,44.268295,-122.695705,m,6/5/2018
MC08T2S09,4,44.268074,-122.694135,m,6/5/2018
MC08T2S10,4,44.268082,-122.693858,m,6/5/2018
MC18T2S01,5,44.122303,-122.738905,m,6/6/2018
MC18T3S05,5,44.128818,-122.727844,m,6/6/2018
MC18T3S01,6,44.128637,-122.727725,m,6/6/2018
MC18T3S07,6,44.130003,-122.727881,m,6/6/2018
MC18T3S04,7,44.128921,-122.72772,m,6/6/2018
MC18T3S09,7,44.129104,-122.727784,m,6/6/2018
MC39T1S1,8,43.781405,-122.004688,f,6/18/2018
MC39T1S3,8,43.781503,-122.004785,f,6/18/2018
MC39T1S4,8,43.781595,-122.004658,f,6/18/2018
MC04T2S09,9,44.305631,-122.399201,m,6/13/2018
MC08T1S01,10,44.268197,-122.70677,f,6/5/2018
MC08T1S09,11,44.269822,-122.706605,m,6/5/2018
MC08T1S10,12,44.26966,-122.706417,m,6/5/2018
MC08T2S01,13,44.266554,-122.694149,f,6/5/2018
MC08T2S04,14,44.267295,-122.694304,f,6/5/2018
MC08T2S08,15,44.267958,-122.694317,f,6/5/2018
MC09T3S02,16,44.2428,-122.4379,f,6/12/2018
MC18T2S02,17,44.12254,-122.739128,,6/6/2018
MC18T3S02,18,44.128811,-122.72766,m,6/6/2018
MC20T1S01,19,44.106032,-122.553227,m,6/7/2018
MC20T1S02,20,44.099316,-122.554678,f,6/7/2018
MC20T2S01,21,44.091815,-122.541543,f,6/7/2018
MC39T1S2,22,43.781469,-122.004764,f,6/18/2018
MC39T2S1,23,43.788877,-121.995733,f,6/18/2018
MC39T2S3,24,43.791172,-121.995606,,6/18/2018
