Session,AnimalID,Occasion,X,Y,Collection Date
McK19,1,1,523389.650226932,4901703.23524455,1
McK19,1,1,523401.172990568,4901717.27178004,1
McK19,1,1,523389.330692272,4901904.50110799,1
McK19,1,1,524403.872520986,4901586.41886834,1
McK19,2,1,524396.61650172,4901605.94097295,1
McK19,2,1,524394.464820585,4901669.35655931,1
McK19,3,1,524395.969677969,4901672.47225207,1
McK19,3,1,524286.378290667,4901717.49457751,1
McK19,4,1,524411.774559597,4901693.41315361,1
McK19,4,1,524433.879245112,4901694.38415637,1
McK19,5,1,520890.013406148,4885490.0485859,2
McK19,5,1,521772.602732893,4886216.53863604,2
McK19,6,1,521782.189307685,4886196.4663956,2
McK19,6,1,521769.207463459,4886348.1472275,2
McK19,7,1,521782.48493717,4886228.01169885,2
McK19,7,1,521777.297676356,4886248.32063453,2
McK19,8,1,580090.826666203,4848075.79151782,14
McK19,8,1,580082.890405379,4848086.58199455,14
McK19,8,1,580092.98704751,4848096.9227492,14
McK19,9,1,547920.594468314,4905995.00906152,9
McK19,10,1,523403.297700164,4901703.39505861,1
McK19,11,1,523415.821535022,4901883.93588445,1
McK19,12,1,523430.890156972,4901865.99569151,1
McK19,13,1,524411.286264251,4901524.57794113,1
McK19,14,1,524398.60852592,4901606.83698809,1
McK19,15,1,524397.296708615,4901680.47456584,1
McK19,16,1,539026.339548133,4915430.80172569,8
McK19,17,1,520872.087899012,4885516.31564834,2
McK19,18,1,521787.325392607,4886215.80984434,2
McK19,19,1,535755.787010731,4883746.71680992,3
McK19,20,1,535643.696633827,4883000.14206847,3
McK19,21,1,536699.665377177,4882172.77805732,3
McK19,22,1,580084.62562838,4848082.82612044,14
McK19,23,1,580801.355302111,4848914.36542078,14
McK19,24,1,580808.481081,4849169.38229428,14
