Abbrev.,Latitude,Longitude,Easting,Northing,Collection Date,Individual
MC8T2S02,44.268699,-122.69834,524075.909,4901761.592,5/28/2019,1
MC8T2S03,44.2658541,-122.698395,524072.68,4901445.584,5/28/2019,1
MC8T2S04,44.26847,-122.698081,524096.674,4901736.232,5/28/2019,1
MC8T2S05,44.268234,-122.697388,524152.08,4901710.223,5/28/2019,1
MC4T2S01,44.304873,-122.399455,547900.951,4905910.667,5/15/2019,2
MC4T2S06,44.305648,-122.398797,547952.804,4905997.134,5/15/2019,2
MC4T2S03,44.304974,-122.3993,547913.233,4905921.976,5/15/2019,3
MC4T2S05,44.305638,-122.398757,547956.003,4905996.046,5/15/2019,3
MC4T2S04,44.305558,-122.398758,547955.988,4905987.16,5/15/2019,4
MC4T2S07,44.305111,-122.398287,547993.92,4905937.785,5/15/2019,4
MC24T3S01,44.029769,-122.81995,514428.13,4875194.983,5/21/2019,5
MC24T3S02,44.029018,-122.820432,514389.687,4875111.486,5/21/2019,6
MC12T2S01,44.197453,-122.787007,517019.791,4893825.945,5/22/2019,7
MC18T1S01,44.122804,-122.750679,519947.816,4885542.774,5/13/2019,8
MC8T1S05,44.266273,-122.709549,523182.256,4901488.902,5/28/2019,9
MC8T1S10,44.267123,-122.709466,523188.547,4901583.338,5/28/2019,10
MC4T2S08,44.304996,-122.398334,547990.265,4905924.984,5/15/2019,11
MC4T2S09,44.304899,-122.39833,547990.663,4905914.212,5/15/2019,12
MC24T1S01,44.023776,-122.84547,512384.357,4874525.2,5/21/2019,13
MC03T1S01,44.302347,-122.511019,539003.998,4905570.996,6/12/2019,14
